precursor,fragment,ion,standard_ion,CTRL_p1_1,CTRL_p1_2,CTRL_p1_3,Lyso0min_p1_1,Lyso0min_p1_2,Lyso0min_p1_3,Lyso10min_p1_1,Lyso10min_p1_2,Lyso10min_p1_3,Lyso20min_p1_1,Lyso20min_p1_2,Lyso20min_p1_3,Lyso5min_p1_1,Lyso5min_p1_2,Lyso5min_p1_3
792.55,651.575,PE40:6,PE31:1,10132.08,10336.49,9174.37,11680.45,8754.39,9288.67,10092.33,9820.87,9729.42,10521.29,8931.55,9476.98,11503.695,10368.21,9564.905
792.59,184.105,PC(O-)38:6,DLPC,2394.535,2520.45,2073.24,2158.52,2037.485,2267.115,2047.945,2384.4,2237.62,2444.635,1887.24,2327.65,2749.105,2388.085,2336.015
794.57,653.585,PE40:5,PE31:1,4913.92,4906.895,4470.085,5706.92,4320.26,4384.66,4492.335,4874.285,5025.71,5127.035,4760.56,4854.98,5645.655,4912.035,4571.765
794.61,184.105,PC(O-)38:5,DLPC,3467.885,3617.365,3054.9,3242.78,2883.34,3165.925,2913.355,3457.325,3358.07,3365.12,3587.85,3373.25,3988.175,3363.055,3290.465
796.59,655.605,PE40:4,PE31:1,783.15,782.425,738.655,937.82,685.395,730.605,745.335,729.08,778.25,854.555,784.44,799.08,873.325,796.52,683.06
796.62,184.105,PC(O-)38:4,DLPC,1425.9,1508.695,1329.085,1388.705,1184.295,1260.85,1270.01,1426.905,1337.9,1435.79,1173.68,1413.79,1596.32,1355.7,1339.625
798.6,657.615,PE40:3,PE31:1,179.055,185.64,196.835,228.515,160.35,172.545,187.545,162.305,206.24,258.46,188.05,218.86,230.245,200.195,168.59
798.64,184.105,PC(O-)38:3,DLPC,733.01,765.57,740.68,763.125,618.405,701.415,631.545,768.325,806.45,793.85,618.72,728.83,881.77,705.435,690.87
800.62,659.635,PE40:2,PE31:1,353.24,369.93,337.7,470.94,309.695,309.16,344.945,265.655,366.78,483.42,396.39,418.66,447.075,344.885,321.795
800.65,184.105,PC(O-)38:2,DLPC,1937.3,1860.165,1779.025,2068.28,1644.19,1763.98,1743.455,1980.005,2011.48,2147.255,1972.15,2012.46,2207.28,1805.125,1798.595
802.63,661.645,PE40:1,PE31:1,125.025,140.385,129.73,206.51,120.965,102.24,113.57,91.11,120.08,170.135,134.46,152.1,162.055,123.34,114.56
802.67,184.105,PC(O-)38:1,DLPC,626.55,621.34,596.32,762.185,518.505,563.46,560.085,629.77,616.56,682.415,565.88,676.84,762.32,598.565,560.08
804.65,663.665,PE40:0,PE31:1,41.66,35.07,41.71,52.84,37.065,36.48,38.38,35.51,43.31,84.43,52.92,41.11,47.425,44.06,37
804.68,184.105,PC(O-)38:0,DLPC,253.78,263.48,258.33,278.545,218.93,230.1,223.125,231.67,238.72,251.23,255.26,236.24,291.585,236.34,230.735
806.57,184.105,PC38:6,DLPC,2299.235,2506.635,2122.76,2212.49,1866.385,2045.43,1748.05,2001.35,1978.85,1849.135,2311.93,1861.77,2380.315,2098.86,2075.71
806.61,665.625,PE(O-)42:6,PE31:1,57.66,56.695,60.6,60.785,50.375,53.975,55.505,54.39,62.52,78.49,68.42,59.96,73.465,60.775,53.425
808.59,184.105,PC38:5,DLPC,3379.06,3836.18,3282.365,3427.36,2836.205,2994.835,2590.76,2928.62,2844.45,2476.19,2735.36,2869.77,3462.97,3040.51,3112.405
