precursor,fragment,ion,standard_ion,CTRL_n1_1,CTRL_n1_2,CTRL_n1_3,Lyso0min_n1_1,Lyso0min_n1_2,Lyso0min_n1_3,Lyso10min_n1_1,Lyso10min_n1_2,Lyso10min_n1_3,Lyso20min_n1_1,Lyso20min_n1_2,Lyso20min_n1_3,Lyso5min_n1_1,Lyso5min_n1_2,Lyso5min_n1_3
771.99,327.265,CL80:14_C22:6,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
772.55,685.555,PS(O-)36:2,PS31:1,201.99,196.405,171.465,185.875,169.78,176.095,202.325,158.565,164.34,191.54,176.83,194.625,188.595,202.185,199.3
773.42,241.045,PI30:4,PI31:1,0.69,1.425,1.23,0.98,1.21,0.54,0.73,0.935,0.615,0.575,0.77,0.645,1.115,0.945,2.245
774.56,687.565,PS(O-)36:1,PS31:1,1151.885,1048.665,1067.755,1068.54,1057.79,1099.33,1152.855,1018.9,1072.68,1307.56,1146.405,1157.49,1203.625,1180.82,1091.71
775.44,241.045,PI30:3,PI31:1,0.46,0,0.18,0,0.31,0.275,0.365,0.36,0.23,0.175,0.35,0.62,0.725,0.555,0.495
776.58,689.585,PS(O-)36:0,PS31:1,129.59,114,113.855,127.805,134.475,130.2,136.075,124.72,121.41,151.315,145.795,140.38,142.115,145.08,127.905
777.46,241.045,PI30:2,PI31:1,42.525,53.5,39.085,59.665,38.67,51.67,52.5,59.845,56.36,63.285,59.36,51.295,68.435,55.25,50.865
778.47,691.465,PS36:6,PS31:1,6.475,4.48,4.01,7.16,5.69,5.205,7.125,5.81,5.08,6.915,4.39,6.175,3.955,4.905,5.105
779.47,241.045,PI30:1,PI31:1,285,339.715,257.385,349.87,226.605,299.285,304.11,301.825,318.655,366.245,339.53,334.73,419.41,363.25,362.095
780.48,693.485,PS36:5,PS31:1,17.09,16.935,16.535,16.69,20.61,16.925,18.255,16.17,16.74,17.71,14.01,20.91,18.135,20.16,18.845
781.49,241.045,PI30:0,PI31:1,22.165,29.595,23.21,27.805,25.135,23.45,25.945,30.365,28.07,28.38,36.49,30.64,35.235,37.5,38.705
782.5,695.505,PS36:4,PS31:1,205.875,154.475,159.4,160.255,164.64,146.6,162.405,153.36,163.14,168.995,152.86,164.71,217.12,188.31,170.45
783.44,241.045,PI(O-)32:6,PI31:1,5.665,6.56,3.68,5.04,2.26,3.015,2.865,5.93,5.58,5.55,7.075,4.885,7.58,4.895,8.23
784.51,697.515,PS36:3,PS31:1,225.25,209.73,187.1,184.215,182.895,186.58,187.43,173.65,195.13,172.76,161.47,192.075,198.065,201.245,179.01
785.46,241.045,PI(O-)32:5,PI31:1,2.005,2.935,2.675,3.895,2.56,2.175,2.245,3.5,3.61,2.475,3.37,3.595,3.715,2.45,2.61
786.53,699.535,PS36:2,PS31:1,7199.19,6221.5,5487.84,5866.005,5572.46,5536.545,6003.195,5536.655,5711.06,5769.73,5795.25,5922.86,6502.395,6275.9,5695.89
787.48,241.045,PI(O-)32:4,PI31:1,0.745,2.97,1.605,3.355,1.82,1.735,1.83,1.485,1.175,1.49,2.455,1.795,1.525,1.9,2.005
788.54,701.545,PS36:1,PS31:1,24288.665,23355.855,22961.41,21756.145,20809.02,21675.55,22808.13,20760.4,21168.89,22275.23,21104.595,23433.37,24757.46,24736.755,21161.66
789.49,241.045,PI(O-)32:3,PI31:1,1.165,1.18,0.745,0.835,0.69,1.315,1.105,0.405,0.53,0.79,0.945,0.635,0.595,0.47,0.5
790.56,703.565,PS36:0,PS31:1,1486.68,1291.915,1178.065,1222.685,1190.03,1326.09,1318.415,1233.52,1331.76,1282.14,1286.78,1258.805,1469.4,1419.565,1267.5
791.51,241.045,PI(O-)32:2,PI31:1,27.34,33.465,24.605,36.4,26.065,32.97,34.23,33.135,27.76,22.18,38.58,28.685,37.19,38.35,33.845
792.52,705.525,PS(O-)38:6,PS31:1,32.45,29.635,21.915,27.755,32.89,30.435,26.25,25.63,30.21,26.23,27.305,29.985,32.255,31.06,28.745
793.49,241.045,PI31:1,PI31:1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
794.53,707.535,PS(O-)38:5,PS31:1,20.73,21.73,19.825,15.345,21.415,20.705,18.01,24.14,23.66,23.5,17.675,18.52,23.985,25.035,22.125
795.54,241.045,PI(O-)32:0,PI31:1,492.495,469.625,443.6,432.385,477.495,449.535,465.03,446.155,513.31,446.165,454.965,461.875,502.075,460.36,457.265
796.55,709.555,PS(O-)38:4,PS31:1,23.645,18.77,14.345,22.115,20.385,21.06,20.56,20.22,20.71,22.045,19.75,18.43,24.715,22.66,23.645
797.42,241.045,PI32:6,PI31:1,3.095,5.275,2.98,2.745,3.485,3.93,4.88,3.77,5.9,4.4,6.465,3.455,2.27,3.695,5.395
